Price,Close,High,Low,Open,Volume,Ticker,SMA_5,SMA_10,EMA_5,EMA_10,RSI,MACD,Signal_Line,MA20,20DaySTD,Upper_Band,Lower_Band,Momentum
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,
2020-08-20,12.101953506469727,12.335201151761469,11.840546973679533,11.936487959422175,921388000,NVDA,12.049373435974122,11.616420936584472,11.985811792322185,11.711843619264528,76.36693120671984,0.5278761358249024,0.4507754554312017,11.160242414474487,0.6640064297442438,12.488255273962974,9.832229554986,0.6957540512084961
2020-08-21,12.642707824707031,12.767554860827785,12.15602739626756,12.162506734429796,999868000,NVDA,12.272553062438964,11.764343357086181,12.204777136450467,11.88109165661771,77.50925288793964,0.5707584122359712,0.4747720467921556,11.284292078018188,0.6984970956366863,12.681286269291562,9.887297886744815,1.1158981323242188
2020-08-24,12.679340362548828,12.870972315704087,12.467274157202104,12.842314360697754,490564000,NVDA,12.348956489562989,11.91936798095703,12.362964878483254,12.026227784968821,76.08809004750555,0.6007735217051149,0.49997234177474753,11.39885983467102,0.7309094548218985,12.860678744314818,9.937040925027222,0.3820171356201172
2020-08-25,12.708995819091797,12.720209182640675,12.53331218530109,12.590129032194348,289076000,NVDA,12.446491622924805,12.108757019042969,12.47830852535277,12.150367427536633,75.84107094259384,0.6198088886578148,0.523939651151361,11.525177431106567,0.7279566341535945,12.981090699413755,10.069264162799378,0.48767566680908203
2020-08-26,12.73192024230957,12.827113095086357,12.636976448614934,12.758085705043182,321244000,NVDA,12.572983551025391,12.241603088378906,12.56284576433837,12.256104302949893,75.61933060113526,0.6294880174539923,0.5450493244118872,11.640181255340575,0.7278240266647195,13.095829308670014,10.184533202011137,0.6324596405029297
2020-08-27,12.58763599395752,12.808673075097298,12.526084179489208,12.740392863056682,317604000,NVDA,12.67012004852295,12.359746742248536,12.57110917421142,12.316382792224005,75.3841278876179,0.6183878732809873,0.5597170341857073,11.740569877624512,0.7121748674291242,13.16491961248276,10.316220142766264,0.48568248748779297
2020-08-28,13.10546588897705,13.10571494807348,12.601840828385242,12.634236572458697,537160000,NVDA,12.762671661376952,12.51761236190796,12.7492280791333,12.459852446179104,80.04843993446464,0.6439523915711494,0.5765641056627957,11.86681251525879,0.7194795342197797,13.305771583698348,10.427853446819231,0.46275806427001953
2020-08-31,13.331485748291016,13.531340444411214,12.995818759589534,13.140351922143596,500840000,NVDA,12.89310073852539,12.621028614044189,12.94331396885254,12.618331228381269,89.3101619024454,0.6746731580221521,0.596185916134667,11.984644842147826,0.7576739807510761,13.49999280364998,10.469296880645674,0.6521453857421875
2020-09-01,13.780671119689941,13.952916564674936,13.397292569178678,13.440665585128135,511316000,NVDA,13.10743579864502,12.776963710784912,13.222433019131675,12.829665754073755,88.82422732565935,0.7268860028686088,0.6223259334814554,12.114096307754517,0.8325303945402086,13.779157096834934,10.4490355186741,1.0716753005981445
2020-09-02,14.304638862609863,14.683779311477837,13.859440925316628,14.660845707915952,874012000,NVDA,13.421979522705078,12.997481536865234,13.58316830029107,13.0978426828985,90.45011559596404,0.8013078978060992,0.6581223263463842,12.266805696487427,0.9390706707790959,14.144947038045618,10.388664354929237,1.572718620300293
